	rt	mkt	smb 	hml
201605	6.04	1.78	-0.7	-1.81
201606	1.2	-0.05	0.49	-1.49
201607	-3.19	3.95	2.65	-1.1
201608	-5.8	0.5	1.71	3.33
201609	-1.83	0.25	1.71	-1.5
201610	3.41	-2.02	-4	4.17
201611	-0.81	4.86	6.87	8.32
201612	-1.36	1.82	0.37	3.55
201701	0.35	1.94	-1.28	-2.76
201702	-3.38	3.57	-2.11	-1.78
201703	2.04	0.17	0.76	-3.16
201704	-1.37	1.09	0.49	-1.87
201705	7.87	1.06	-3.07	-3.77
201706	-3.74	0.78	2.48	1.35
201707	2.03	1.87	-1.58	-0.28
201708	3.37	0.16	-1.86	-2.24
201709	-2.59	2.51	4.82	3.03
201710	9.45	2.25	-1.97	-0.06
201711	-7.05	3.12	-0.43	-0.05
201712	-2.13	1.06	-1.02	0.14
201801	12.52	5.58	-3.15	-1.37
201802	4.26	-3.65	0.35	-1.19
201803	-3.45	-2.35	3.52	-0.11
201804	-0.82	0.29	0.94	0.53
201805	6.51	2.65	4.72	-3.16
201806	-3.48	0.48	0.85	-2.39
201807	-1.83	3.19	-1.92	0.4
201808	9.86	3.44	0.76	-4.11
201809	0.3	0.06	-2.51	-1.35
201810	-6.41	-7.68	-4.43	3.41
201811	2.15	1.69	-0.81	0.2
201812	3.85	-9.55	-3	-1.51
201901	-9.39	8.41	3.09	-0.6
201902	-2.75	3.4	1.73	-2.84
201903	-2.78	1.1	-3.56	-4.08
